En_Fed,Cent_Just,Period,Tot_Cent,Tot_Mujer,Pareja,Expareja,Novio,Novia,Padre,Madre,Abuelo,Abuela,Pariente distinto a la pareja,Amigo,Amiga,Desconocido,Maestro/Autoridad escolar M,Maestra/Autoridad escolar F,Compa_esc_M,Comp_esc_F,Jefe,Jefa,Comp_trab_F,Comp_trab_M,Servidora_pub,Servidor_pub,Otro(s)1,No especificado
 Quintana Roo,"Cancún,Quintana Roo",Al 30 de junio de 2021,1,  5 384,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,  5 384
 San Luis Potosí,"Matehuala,San Luis Potosí",2019,1,299,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,299
 San Luis Potosí,"Matehuala,San Luis Potosí",2020,1,687,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,687
 San Luis Potosí,"Matehuala,San Luis Potosí",Al 30 de junio de 2021,1,480,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,480
 San Luis Potosí,"Matlapa,San Luis Potosí",2019,1,565,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,565
 San Luis Potosí,"Matlapa,San Luis Potosí",2020,1,500,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,500
 San Luis Potosí,"Matlapa,San Luis Potosí",Al 30 de junio de 2021,1,372,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,372
 San Luis Potosí,"Rioverde,San Luis Potosí",2019,1,766,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,766
 San Luis Potosí,"Rioverde,San Luis Potosí",2020,1,638,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,638
 San Luis Potosí,"Rioverde,San Luis Potosí",Al 30 de junio de 2021,1,375,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,375
 San Luis Potosí,"San Luis Potosí,San Luis Potosí",2019,1,  4 156,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,  4 156
 San Luis Potosí,"San Luis Potosí,San Luis Potosí",2020,1,  2 841,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,  2 841
 San Luis Potosí,"San Luis Potosí,San Luis Potosí",Al 30 de junio de 2021,1,  1 340,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,  1 340
 Sinaloa,"Culiacán,Sinaloa",2019,1,  1 698,693,177,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,828
 Sinaloa,"Culiacán,Sinaloa",2020,1,  1 193,891,185,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,117
 Sinaloa,"Culiacán,Sinaloa",Al 30 de junio de 2021,1,699,254,128,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,317
 Sonora,"Cajeme,Sonora",2019,1,  6 397,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,  6 397
 Sonora,"Cajeme,Sonora",2020,1,  4 938,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,  4 938
 Sonora,"Cajeme,Sonora",Al 30 de junio de 2021,1,  4 040,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,  4 040
 Sonora,"Hermosillo,Sonora",2019,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 Sonora,"Hermosillo,Sonora",2020,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
 Sonora,"Hermosillo,Sonora",Al 30 de junio de 2021,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
 Tamaulipas,"Reynosa,Tamaulipas",2019,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 Tamaulipas,"Reynosa,Tamaulipas",2020,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 Tamaulipas,"Reynosa,Tamaulipas",Al 30 de junio de 2021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 Tlaxcala,"Tlaxcala,Tlaxcala",2019,1,  2 453,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,  2 453
 Tlaxcala,"Tlaxcala,Tlaxcala",2020,1,  2 525,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,  2 525
 Tlaxcala,"Tlaxcala,Tlaxcala",Al 30 de junio de 2021,1,  2 202,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,  2 202
 Veracruz de Ignacio de la llave,"Xalapa,Veracruz de Ignacio de la llave",2019,1,12,6,0,0,0,1,ND,0,ND,2,0,ND,0,1,ND,0,ND,0,ND,ND,0,ND,0,0,2
 Veracruz de Ignacio de la llave,"Xalapa,Veracruz de Ignacio de la llave",2020,1,616,345,15,15,0,9,ND,0,ND,83,43,ND,11,0,ND,1,ND,1,ND,ND,3,ND,1,15,74
 Veracruz de Ignacio de la llave,"Xalapa,Veracruz de Ignacio de la llave",Al 30 de junio de 2021,1,561,367,32,16,1,14,ND,0,ND,51,18,ND,15,0,ND,2,ND,1,ND,ND,2,ND,1,30,11
 Yucatán,"Mérida,Yucatán",2019,1,  8 512,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,  8 512
 Yucatán,"Mérida,Yucatán",2020,1,  6 093,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,  6 093
 Yucatán,"Mérida,Yucatán",Al 30 de junio de 2021,1,  3 959,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,  3 959
 Zacatecas,"Fresnillo,Zacatecas",2019,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 Zacatecas,"Fresnillo,Zacatecas",2020,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
 Zacatecas,"Fresnillo,Zacatecas",Al 30 de junio de 2021,1,837,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,NA,837
 Zacatecas,"Zacatecas,Zacatecas",2019,1,  3 804,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,  3 804,0
 Zacatecas,"Zacatecas,Zacatecas",2020,1,  3 647,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,  3 647,0
 Zacatecas,"Zacatecas,Zacatecas",Al 30 de junio de 2021,1,  2 020,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,  2 020,0
