En_Fed,Cent_Just,Period,Tot_Cent,Tot_Mujer,Pareja,Expareja,Novio,Novia,Padre,Madre,Abuelo,Abuela,Pariente distinto a la pareja,Amigo,Amiga,Desconocido,Maestro/Autoridad escolar M,Maestra/Autoridad escolar F,Compa_esc_M,Comp_esc_F,Jefe,Jefa,Comp_trab_F,Comp_trab_M,Servidora_pub,Servidor_pub,Otro(s)1,No especificado
 Coahuila de Zaragoza,"Acuña,Coahuila de Zaragoza",2019,1,  7 268,  1 699,  4 148,33,0,0,0,0,0,722,163,0,163,0,9,0,0,0,0,0,0,0,0,331,0
 Coahuila de Zaragoza,"Acuña,Coahuila de Zaragoza",2020,1,  8 960,  2 095,  5 114,40,0,0,0,0,0,890,201,0,201,0,11,0,0,0,0,0,0,0,0,408,0
 Coahuila de Zaragoza,"Acuña,Coahuila de Zaragoza",Al 30 de junio de 2021,1,  9 896,  2 314,  5 649,44,0,0,0,0,0,983,234,0,212,0,10,0,0,0,0,0,0,0,0,450,0
 Coahuila de Zaragoza,"Frontera,Coahuila de Zaragoza",2019,1,  8 442,  5 223,  2 093,126,ND,0,0,0,ND,472,121,ND,173,33,ND,0,ND,19,ND,ND,14,0,0,168,0
 Coahuila de Zaragoza,"Frontera,Coahuila de Zaragoza",2020,1,  10 248,  6 340,  2 541,153,ND,0,0,0,ND,573,147,ND,210,40,ND,0,ND,23,ND,ND,17,0,0,204,0
 Coahuila de Zaragoza,"Frontera,Coahuila de Zaragoza",Al 30 de junio de 2021,1,  11 240,  6 954,  2 787,168,ND,0,0,0,ND,628,162,ND,230,44,ND,0,ND,25,ND,ND,19,0,0,223,0
 Coahuila de Zaragoza,"Matamoros,Coahuila de Zaragoza",2019,1,  4 232,  2 562,  1 258,13,0,0,0,0,0,114,40,0,40,11,0,0,0,0,0,0,0,0,0,0,194
 Coahuila de Zaragoza,"Matamoros,Coahuila de Zaragoza",2020,1,  4 913,  2 974,  1 461,13,0,0,0,0,0,133,52,0,41,13,0,0,0,0,0,0,0,0,0,0,226
 Coahuila de Zaragoza,"Matamoros,Coahuila de Zaragoza",Al 30 de junio de 2021,1,  5 294,  3 205,  1 574,15,0,0,0,0,0,143,50,0,50,14,0,0,0,0,0,0,0,0,0,0,243
 Coahuila de Zaragoza,"Saltillo,Coahuila de Zaragoza",2019,1,  36 115,  24 313,  9 573,212,ND,ND,ND,ND,ND,661,194,ND,335,44,ND,ND,ND,150,ND,132,ND,ND,ND,0,501
 Coahuila de Zaragoza,"Saltillo,Coahuila de Zaragoza",2020,1,  40 566,  27 348,  10 753,238,ND,ND,ND,ND,ND,743,218,ND,376,50,ND,ND,ND,168,ND,149,ND,ND,ND,0,523
 Coahuila de Zaragoza,"Saltillo,Coahuila de Zaragoza",Al 30 de junio de 2021,1,  42 590,  28 712,  11 289,249,ND,ND,ND,ND,ND,780,229,ND,395,52,ND,ND,ND,177,ND,156,ND,ND,ND,0,551
 Coahuila de Zaragoza,"Torreón,Coahuila de Zaragoza",2019,1,  25 853,  12 472,  9 849,52,0,0,0,0,0,  1 341,671,0,255,110,0,0,0,144,0,0,68,0,0,891,0
 Coahuila de Zaragoza,"Torreón,Coahuila de Zaragoza",2020,1,  28 665,  13 838,  10 920,39,0,0,0,0,0,  1 487,744,0,282,0,122,0,0,160,0,0,75,0,0,988,10
